PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR
0.15,0.216,0.445,0.066,0.075,0.15,0.461,0.257,0.041,0.47,0.53
0.144,0.158,0.495,0.061,0.097,0.144,0.481,0.252,0.034,0.44,0.56
0.167,0.143,0.469,0.027,0.112,0.167,0.442,0.221,0.043,0.395,0.605
0.119,0.195,0.538,0.037,0.054,0.119,0.506,0.188,0.03,0.467,0.533
0.116,0.186,0.465,0.041,0.099,0.116,0.5,0.273,0.047,0.477,0.523
0.109,0.229,0.486,0.029,0.12,0.109,0.497,0.194,0.057,0.446,0.554
0.104,0.155,0.618,0.049,0.046,0.104,0.579,0.176,0.025,0.604,0.396
0.098,0.251,0.507,0.052,0.132,0.098,0.491,0.202,0.03,0.543,0.457
0.169,0.291,0.452,0.084,0.035,0.169,0.455,0.288,0.042,0.627,0.373
0.132,0.16,0.58,0.047,0.099,0.132,0.514,0.208,0.028,0.566,0.434
0.103,0.203,0.53,0.061,0.091,0.103,0.518,0.188,0.015,0.542,0.458
0.093,0.239,0.457,0.035,0.094,0.093,0.467,0.216,0.019,0.58,0.42
0.188,0.178,0.452,0.043,0.101,0.188,0.442,0.269,0.043,0.399,0.601
0.107,0.223,0.519,0.034,0.059,0.107,0.505,0.17,0.028,0.479,0.521
0.097,0.179,0.56,0.026,0.09,0.097,0.425,0.175,0.049,0.549,0.451
0.164,0.192,0.452,0.014,0.055,0.164,0.425,0.219,0.027,0.452,0.548
0.163,0.229,0.488,0.12,0.081,0.163,0.496,0.306,0.039,0.504,0.496
0.116,0.215,0.506,0.039,0.094,0.116,0.47,0.204,0.041,0.5,0.5
0.097,0.146,0.534,0.036,0.04,0.097,0.522,0.158,0.032,0.534,0.466
0.157,0.236,0.431,0.042,0.125,0.157,0.421,0.236,0.037,0.463,0.537
0.142,0.167,0.509,0.04,0.057,0.142,0.495,0.226,0.035,0.524,0.476
0.227,0.168,0.445,0.008,0.05,0.227,0.437,0.277,0.008,0.496,0.504
0.147,0.245,0.459,0.04,0.09,0.147,0.48,0.231,0.038,0.514,0.486
0.171,0.205,0.428,0.054,0.105,0.171,0.462,0.276,0.042,0.452,0.548
0.158,0.098,0.609,0.083,0.075,0.158,0.564,0.248,0.038,0.556,0.444
0.176,0.162,0.479,0.076,0.088,0.176,0.429,0.288,0.029,0.494,0.506
0.12,0.16,0.604,0.059,0.074,0.12,0.563,0.192,0.034,0.538,0.462
0.177,0.285,0.393,0.059,0.067,0.177,0.452,0.283,0.039,0.532,0.468
0.124,0.195,0.523,0.03,0.064,0.124,0.503,0.201,0.03,0.483,0.517
0.145,0.159,0.476,0.028,0.076,0.145,0.441,0.214,0.028,0.517,0.483
0.126,0.214,0.558,0.057,0.122,0.126,0.556,0.214,0.048,0.474,0.526
0.102,0.246,0.529,0.046,0.074,0.102,0.548,0.178,0.018,0.483,0.517
0.15,0.198,0.533,0.12,0.066,0.15,0.548,0.299,0.039,0.608,0.392
0.117,0.251,0.495,0.06,0.06,0.117,0.527,0.205,0.043,0.5,0.5
0.17,0.193,0.486,0.032,0.073,0.17,0.468,0.248,0.032,0.39,0.61
0.122,0.225,0.463,0.035,0.074,0.122,0.482,0.248,0.045,0.563,0.437
0.157,0.166,0.47,0.051,0.134,0.157,0.433,0.267,0.032,0.465,0.535
0.15,0.178,0.549,0.063,0.036,0.15,0.522,0.233,0.047,0.585,0.415
0.151,0.157,0.536,0.036,0.084,0.151,0.56,0.217,0.048,0.494,0.506
0.133,0.177,0.527,0.044,0.108,0.133,0.493,0.187,0.03,0.502,0.498
0.14,0.102,0.601,0.092,0.076,0.14,0.543,0.243,0.013,0.478,0.522
0.134,0.191,0.492,0.043,0.091,0.134,0.487,0.226,0.043,0.452,0.548
0.082,0.22,0.499,0.007,0.124,0.082,0.454,0.176,0.005,0.595,0.405
0.114,0.212,0.544,0.063,0.13,0.114,0.547,0.193,0.038,0.484,0.516
0.134,0.143,0.577,0.076,0.052,0.134,0.56,0.219,0.029,0.583,0.417
0.129,0.209,0.472,0.044,0.106,0.129,0.49,0.224,0.026,0.459,0.541
0.135,0.176,0.534,0.058,0.056,0.135,0.53,0.233,0.034,0.523,0.477
0.13,0.153,0.576,0.062,0.051,0.13,0.559,0.198,0.023,0.463,0.537
0.136,0.237,0.508,0.042,0.034,0.136,0.542,0.203,0.051,0.483,0.517
0.053,0.294,0.504,0.053,0.118,0.053,0.5,0.167,0.048,0.575,0.425
0.129,0.232,0.398,0.057,0.073,0.129,0.441,0.265,0.023,0.563,0.437
0.108,0.367,0.446,0.036,0.144,0.108,0.46,0.158,0.05,0.547,0.453
0.089,0.204,0.42,0.038,0.096,0.089,0.408,0.204,0.025,0.484,0.516
0.142,0.087,0.634,0.076,0.07,0.142,0.544,0.23,0.017,0.535,0.465
0.121,0.234,0.472,0.048,0.077,0.121,0.496,0.23,0.032,0.577,0.423
0.098,0.176,0.584,0.058,0.053,0.098,0.582,0.164,0.013,0.615,0.385
0.126,0.229,0.516,0.089,0.081,0.126,0.516,0.238,0.038,0.517,0.483
0.099,0.28,0.461,0.037,0.148,0.099,0.465,0.222,0.045,0.547,0.453
0.132,0.159,0.546,0.048,0.088,0.132,0.524,0.203,0.04,0.485,0.515
0.126,0.228,0.451,0.023,0.06,0.126,0.465,0.26,0.065,0.54,0.46
0.169,0.199,0.478,0.063,0.083,0.169,0.489,0.269,0.038,0.471,0.529
0.097,0.182,0.584,0.041,0.067,0.097,0.543,0.167,0.041,0.532,0.468
0.099,0.263,0.524,0.078,0.096,0.099,0.501,0.208,0.025,0.554,0.446
0.116,0.241,0.459,0.028,0.116,0.116,0.453,0.216,0.041,0.5,0.5
0.132,0.232,0.485,0.066,0.118,0.132,0.502,0.247,0.046,0.464,0.536
0.132,0.203,0.476,0.054,0.094,0.132,0.493,0.242,0.05,0.497,0.503
0.134,0.19,0.499,0.039,0.07,0.134,0.483,0.221,0.037,0.538,0.462
0.136,0.2,0.46,0.03,0.107,0.136,0.48,0.213,0.036,0.468,0.532
0.077,0.279,0.474,0.049,0.117,0.077,0.502,0.186,0.012,0.587,0.413
0.119,0.214,0.516,0.043,0.107,0.119,0.49,0.2,0.049,0.519,0.481
0.067,0.281,0.444,0.031,0.105,0.067,0.451,0.147,0.06,0.636,0.364
0.15,0.137,0.548,0.041,0.061,0.15,0.471,0.217,0.032,0.475,0.525
0.123,0.198,0.54,0.048,0.104,0.123,0.535,0.205,0.052,0.445,0.555
0.098,0.162,0.598,0.058,0.061,0.098,0.566,0.197,0.035,0.561,0.439
0.104,0.179,0.602,0.035,0.154,0.104,0.563,0.172,0.032,0.439,0.561
0.132,0.192,0.526,0.079,0.09,0.132,0.5,0.241,0.023,0.538,0.462
0.131,0.192,0.5,0.046,0.103,0.131,0.469,0.218,0.028,0.5,0.5
0.098,0.232,0.468,0.039,0.096,0.098,0.464,0.197,0.046,0.527,0.473
0.149,0.217,0.443,0.014,0.091,0.149,0.469,0.203,0.057,0.446,0.554
0.143,0.227,0.485,0.076,0.061,0.143,0.496,0.258,0.065,0.522,0.478
0.14,0.201,0.508,0.057,0.094,0.14,0.475,0.231,0.03,0.479,0.521
0.145,0.34,0.384,0.025,0.082,0.145,0.478,0.201,0.057,0.642,0.358
0.124,0.227,0.449,0.035,0.094,0.124,0.449,0.248,0.053,0.502,0.498
0.154,0.174,0.51,0.063,0.105,0.154,0.51,0.253,0.041,0.479,0.521
0.222,0.179,0.47,0.043,0.034,0.222,0.453,0.308,0.043,0.487,0.513
0.123,0.184,0.556,0.065,0.087,0.123,0.538,0.213,0.047,0.57,0.43
0.118,0.188,0.52,0.047,0.098,0.118,0.495,0.206,0.034,0.482,0.518
0.164,0.179,0.47,0.039,0.114,0.164,0.46,0.239,0.036,0.447,0.553
0.145,0.158,0.507,0.046,0.046,0.145,0.395,0.25,0.033,0.586,0.414
0.088,0.169,0.606,0.088,0.056,0.088,0.581,0.2,0.069,0.606,0.394
0.149,0.195,0.484,0.025,0.07,0.149,0.484,0.209,0.061,0.487,0.513
0.144,0.187,0.508,0.043,0.067,0.144,0.515,0.227,0.06,0.538,0.462
0.163,0.109,0.558,0.027,0.082,0.163,0.49,0.252,0.02,0.517,0.483
0.109,0.175,0.529,0.051,0.082,0.109,0.541,0.202,0.019,0.521,0.479
0.151,0.164,0.491,0.039,0.047,0.151,0.478,0.228,0.03,0.444,0.556
0.102,0.195,0.556,0.056,0.06,0.102,0.526,0.192,0.015,0.605,0.395
0.124,0.207,0.485,0.07,0.094,0.124,0.462,0.251,0.033,0.472,0.528
0.141,0.167,0.5,0.036,0.036,0.141,0.5,0.224,0.057,0.536,0.464
0.115,0.209,0.469,0.068,0.072,0.115,0.495,0.232,0.025,0.551,0.449
0.125,0.153,0.58,0.024,0.076,0.125,0.503,0.177,0.028,0.601,0.399
0.12,0.24,0.495,0.082,0.062,0.12,0.504,0.253,0.027,0.548,0.452
0.248,0.186,0.455,0.055,0.076,0.248,0.428,0.317,0.055,0.359,0.641
0.112,0.249,0.464,0.021,0.198,0.112,0.411,0.201,0.027,0.488,0.512
0.139,0.241,0.37,0.009,0.12,0.139,0.389,0.222,0.028,0.407,0.593
0.137,0.198,0.512,0.048,0.073,0.137,0.508,0.19,0.036,0.472,0.528
0.075,0.209,0.56,0.052,0.082,0.075,0.515,0.194,0.075,0.597,0.403
0.125,0.181,0.491,0.018,0.074,0.125,0.487,0.203,0.026,0.494,0.506
0.138,0.188,0.514,0.028,0.087,0.138,0.532,0.202,0.023,0.454,0.546
0.212,0.152,0.43,0.057,0.079,0.212,0.459,0.32,0.044,0.405,0.595
0.135,0.192,0.477,0.045,0.075,0.135,0.432,0.222,0.06,0.47,0.53
0.133,0.202,0.528,0.073,0.078,0.133,0.459,0.225,0.028,0.555,0.445
0.135,0.26,0.467,0.05,0.091,0.135,0.483,0.202,0.028,0.53,0.47
0.157,0.139,0.542,0.051,0.069,0.157,0.523,0.25,0.028,0.463,0.537
0.14,0.203,0.472,0.045,0.095,0.14,0.5,0.237,0.045,0.478,0.522
0.102,0.22,0.441,0.024,0.079,0.102,0.441,0.197,0.063,0.425,0.575
0.167,0.118,0.51,0.043,0.092,0.167,0.477,0.253,0.025,0.402,0.598
0.145,0.373,0.325,0.024,0.048,0.145,0.482,0.241,0.12,0.578,0.422
0.113,0.235,0.487,0.013,0.096,0.113,0.496,0.183,0.026,0.47,0.53
0.125,0.211,0.523,0.029,0.054,0.125,0.527,0.186,0.025,0.516,0.484
0.117,0.21,0.577,0.071,0.052,0.117,0.526,0.203,0.027,0.537,0.463
0.123,0.224,0.499,0.051,0.085,0.123,0.509,0.197,0.061,0.499,0.501
0.12,0.269,0.462,0.024,0.091,0.12,0.5,0.178,0.029,0.49,0.51
0.219,0.123,0.5,0.034,0.041,0.219,0.39,0.308,0.007,0.514,0.486
0.164,0.183,0.462,0.058,0.092,0.164,0.455,0.272,0.013,0.438,0.562
0.16,0.214,0.454,0.042,0.101,0.16,0.453,0.229,0.048,0.465,0.535
0.11,0.196,0.555,0.041,0.069,0.11,0.555,0.18,0.045,0.555,0.445
0.145,0.139,0.56,0.063,0.087,0.145,0.533,0.232,0.021,0.506,0.494
0.145,0.184,0.527,0.03,0.06,0.145,0.503,0.214,0.045,0.497,0.503
0.121,0.257,0.514,0.108,0.072,0.121,0.519,0.25,0.038,0.557,0.443
0.135,0.164,0.525,0.038,0.057,0.135,0.503,0.217,0.044,0.528,0.472
0.133,0.285,0.42,0.074,0.06,0.133,0.464,0.239,0.071,0.556,0.444
0.13,0.188,0.523,0.058,0.092,0.13,0.512,0.242,0.035,0.522,0.478
0.134,0.207,0.453,0.025,0.118,0.134,0.463,0.237,0.028,0.418,0.582
0.143,0.203,0.486,0.042,0.07,0.143,0.507,0.217,0.035,0.479,0.521
0.11,0.19,0.505,0.05,0.06,0.11,0.505,0.2,0.025,0.51,0.49
0.147,0.155,0.559,0.055,0.071,0.147,0.512,0.224,0.043,0.549,0.451
0.246,0.144,0.492,0.034,0.025,0.246,0.458,0.297,0.034,0.458,0.542
0.121,0.242,0.503,0.047,0.054,0.121,0.51,0.195,0.027,0.483,0.517
0.107,0.254,0.497,0.038,0.106,0.107,0.541,0.193,0.052,0.55,0.45
0.159,0.201,0.474,0.056,0.117,0.159,0.505,0.266,0.056,0.451,0.549
0.142,0.202,0.482,0.049,0.079,0.142,0.496,0.237,0.04,0.512,0.488
0.13,0.25,0.511,0.116,0.095,0.13,0.493,0.275,0.039,0.577,0.423
0.136,0.237,0.474,0.122,0.05,0.136,0.484,0.295,0.03,0.519,0.481
0.137,0.29,0.419,0.024,0.081,0.137,0.508,0.218,0.065,0.468,0.532
0.139,0.19,0.49,0.046,0.101,0.139,0.441,0.222,0.025,0.536,0.464
0.188,0.153,0.455,0.057,0.136,0.188,0.449,0.29,0.04,0.426,0.574
0.128,0.187,0.496,0.041,0.099,0.128,0.487,0.198,0.032,0.443,0.557
0.171,0.163,0.48,0.024,0.098,0.171,0.463,0.232,0.065,0.467,0.533
0.117,0.189,0.583,0.058,0.068,0.117,0.553,0.209,0.049,0.612,0.388
0.133,0.129,0.573,0.032,0.045,0.133,0.524,0.201,0.061,0.537,0.463
0.123,0.216,0.515,0.045,0.082,0.123,0.522,0.22,0.052,0.563,0.437
0.109,0.255,0.467,0.027,0.066,0.109,0.467,0.191,0.034,0.568,0.432
0.183,0.233,0.405,0.072,0.062,0.183,0.418,0.29,0.047,0.492,0.508
0.338,0.113,0.394,0.042,0.07,0.338,0.437,0.408,0.028,0.394,0.606
0.139,0.201,0.508,0.034,0.096,0.139,0.489,0.195,0.031,0.492,0.508
0.173,0.216,0.418,0.019,0.087,0.173,0.442,0.25,0.038,0.409,0.591
0.138,0.208,0.53,0.105,0.044,0.138,0.504,0.265,0.032,0.537,0.463
0.127,0.189,0.478,0.049,0.131,0.127,0.455,0.247,0.028,0.461,0.539
0.129,0.268,0.362,0.029,0.095,0.129,0.385,0.256,0.047,0.538,0.462
0.1,0.131,0.641,0.024,0.056,0.1,0.57,0.151,0.016,0.657,0.343
0.085,0.188,0.558,0.053,0.091,0.085,0.571,0.197,0.041,0.514,0.486
0.155,0.173,0.491,0.027,0.073,0.155,0.482,0.241,0.045,0.445,0.555
0.146,0.193,0.472,0.033,0.105,0.146,0.456,0.224,0.044,0.431,0.569
0.185,0.146,0.539,0.034,0.073,0.185,0.506,0.219,0.028,0.483,0.517
0.127,0.187,0.536,0.055,0.063,0.127,0.533,0.216,0.069,0.539,0.461
0.136,0.22,0.464,0.043,0.095,0.136,0.464,0.218,0.049,0.463,0.537
0.111,0.218,0.511,0.055,0.104,0.111,0.515,0.189,0.036,0.534,0.466
0.077,0.212,0.5,0.115,0.115,0.077,0.519,0.212,0.096,0.692,0.308
0.117,0.179,0.569,0.045,0.071,0.117,0.538,0.186,0.055,0.54,0.46
0.15,0.205,0.486,0.062,0.076,0.15,0.482,0.253,0.012,0.463,0.537
0.09,0.211,0.494,0.03,0.133,0.09,0.518,0.169,0.048,0.578,0.422
0.152,0.133,0.57,0.03,0.055,0.152,0.576,0.2,0.042,0.527,0.473
0.073,0.274,0.458,0.032,0.102,0.073,0.45,0.208,0.032,0.619,0.381
0.151,0.219,0.432,0.021,0.099,0.151,0.49,0.229,0.042,0.406,0.594
0.185,0.16,0.487,0.059,0.109,0.185,0.487,0.261,0.034,0.42,0.58
0.158,0.196,0.465,0.05,0.077,0.158,0.431,0.269,0.015,0.512,0.488
0.123,0.144,0.567,0.042,0.058,0.123,0.547,0.191,0.019,0.563,0.437
0.143,0.128,0.553,0.054,0.079,0.143,0.501,0.231,0.034,0.437,0.563
0.24,0.227,0.393,0.027,0.06,0.24,0.467,0.347,0.027,0.507,0.493
0.244,0.143,0.487,0.042,0.025,0.244,0.437,0.328,0.034,0.479,0.521
0.165,0.106,0.494,0.024,0.082,0.165,0.447,0.212,0.035,0.482,0.518
0.158,0.258,0.416,0.039,0.094,0.158,0.467,0.234,0.07,0.43,0.57
0.154,0.182,0.513,0.083,0.083,0.154,0.532,0.259,0.016,0.544,0.456
0.134,0.131,0.59,0.037,0.063,0.134,0.51,0.208,0.066,0.533,0.467
0.118,0.22,0.486,0.044,0.095,0.118,0.499,0.197,0.049,0.517,0.483
0.143,0.251,0.444,0.054,0.088,0.143,0.446,0.236,0.047,0.518,0.482
0.13,0.215,0.51,0.049,0.073,0.13,0.514,0.211,0.032,0.417,0.583
0.123,0.27,0.477,0.052,0.057,0.123,0.468,0.207,0.025,0.512,0.488
0.123,0.234,0.48,0.057,0.09,0.123,0.516,0.234,0.082,0.533,0.467
0.174,0.212,0.389,0.01,0.045,0.174,0.417,0.212,0.052,0.42,0.58
0.164,0.198,0.449,0.01,0.101,0.164,0.459,0.232,0.043,0.449,0.551
0.196,0.261,0.332,0.019,0.045,0.196,0.394,0.252,0.019,0.362,0.638
0.113,0.24,0.535,0.053,0.079,0.113,0.525,0.189,0.058,0.573,0.427
0.18,0.245,0.366,0.047,0.069,0.18,0.403,0.3,0.029,0.491,0.509
0.175,0.202,0.437,0.049,0.093,0.175,0.434,0.269,0.051,0.439,0.561
0.052,0.314,0.503,0.073,0.093,0.052,0.535,0.194,0.027,0.656,0.344
0.149,0.162,0.557,0.128,0.078,0.149,0.554,0.297,0.037,0.588,0.412
0.131,0.19,0.494,0.048,0.042,0.131,0.494,0.214,0.036,0.512,0.488
0.201,0.196,0.461,0.056,0.053,0.201,0.435,0.285,0.043,0.514,0.486
0.138,0.261,0.478,0.059,0.051,0.138,0.514,0.237,0.075,0.569,0.431
0.138,0.161,0.502,0.042,0.077,0.138,0.498,0.23,0.038,0.498,0.502
0.09,0.234,0.458,0.067,0.054,0.09,0.465,0.177,0.06,0.475,0.525
0.098,0.203,0.569,0.054,0.105,0.098,0.514,0.217,0.004,0.572,0.428
0.156,0.122,0.553,0.047,0.071,0.156,0.522,0.234,0.031,0.441,0.559
0.118,0.207,0.465,0.022,0.05,0.118,0.462,0.199,0.013,0.612,0.388
0.147,0.266,0.467,0.033,0.098,0.147,0.435,0.239,0.054,0.56,0.44
0.057,0.348,0.467,0.048,0.126,0.057,0.506,0.174,0.043,0.643,0.357
0.116,0.317,0.48,0.144,0.069,0.116,0.473,0.279,0.041,0.643,0.357
0.11,0.195,0.537,0.085,0.073,0.11,0.549,0.244,0.061,0.622,0.378
0.174,0.267,0.392,0.063,0.071,0.174,0.429,0.277,0.065,0.505,0.495
0.126,0.176,0.532,0.032,0.045,0.126,0.491,0.185,0.036,0.532,0.468
0.139,0.163,0.531,0.051,0.128,0.139,0.523,0.229,0.029,0.475,0.525
0.203,0.105,0.497,0.046,0.078,0.203,0.431,0.288,0.026,0.366,0.634
0.147,0.177,0.515,0.053,0.092,0.147,0.5,0.242,0.03,0.477,0.523
0.151,0.196,0.514,0.022,0.117,0.151,0.436,0.235,0.022,0.553,0.447
0.275,0.121,0.484,0.044,0.044,0.275,0.451,0.33,0.11,0.495,0.505
0.084,0.123,0.586,0.063,0.105,0.084,0.571,0.186,0.045,0.583,0.417
0.173,0.166,0.477,0.05,0.081,0.173,0.487,0.266,0.04,0.473,0.527
0.111,0.25,0.459,0.053,0.07,0.111,0.492,0.201,0.016,0.549,0.451
0.128,0.153,0.58,0.057,0.06,0.128,0.541,0.21,0.046,0.559,0.441
0.147,0.206,0.482,0.031,0.059,0.147,0.48,0.234,0.021,0.487,0.513
0.11,0.241,0.539,0.068,0.08,0.11,0.567,0.2,0.05,0.569,0.431
0.164,0.277,0.479,0.052,0.108,0.164,0.554,0.23,0.061,0.469,0.531
0.086,0.18,0.657,0.049,0.181,0.086,0.628,0.166,0.03,0.466,0.534
0.122,0.24,0.486,0.055,0.1,0.122,0.509,0.224,0.054,0.524,0.476
0.132,0.284,0.466,0.069,0.118,0.132,0.5,0.25,0.074,0.5,0.5
0.113,0.238,0.541,0.07,0.085,0.113,0.564,0.212,0.052,0.57,0.43
0.144,0.207,0.49,0.032,0.115,0.144,0.463,0.207,0.054,0.461,0.539
0.109,0.251,0.497,0.058,0.064,0.109,0.497,0.207,0.029,0.489,0.511
0.13,0.226,0.503,0.057,0.106,0.13,0.519,0.212,0.033,0.519,0.481
0.153,0.202,0.459,0.033,0.077,0.153,0.497,0.23,0.033,0.443,0.557
0.192,0.232,0.375,0.039,0.073,0.192,0.38,0.273,0.039,0.443,0.557
0.151,0.109,0.55,0.059,0.044,0.151,0.536,0.243,0.021,0.479,0.521
0.12,0.226,0.503,0.062,0.09,0.12,0.523,0.217,0.033,0.484,0.516
0.17,0.181,0.41,0.032,0.096,0.17,0.447,0.287,0.043,0.41,0.59
0.15,0.16,0.51,0.044,0.117,0.15,0.49,0.252,0.019,0.495,0.505
0.131,0.155,0.479,0.029,0.08,0.131,0.464,0.223,0.016,0.429,0.571
0.19,0.154,0.476,0.045,0.112,0.19,0.458,0.254,0.019,0.418,0.582
0.122,0.184,0.513,0.029,0.053,0.122,0.505,0.204,0.044,0.505,0.495
0.142,0.205,0.472,0.03,0.109,0.142,0.459,0.215,0.033,0.482,0.518
0.142,0.189,0.53,0.063,0.074,0.142,0.503,0.238,0.041,0.533,0.467
0.146,0.208,0.505,0.073,0.083,0.146,0.552,0.25,0.052,0.521,0.479
0.109,0.225,0.51,0.03,0.115,0.109,0.535,0.194,0.057,0.539,0.461
0.128,0.214,0.461,0.032,0.139,0.128,0.458,0.223,0.025,0.467,0.533
0.17,0.24,0.426,0.04,0.052,0.17,0.431,0.261,0.028,0.466,0.534
0.118,0.209,0.505,0.05,0.135,0.118,0.505,0.234,0.038,0.488,0.512
0.13,0.2,0.527,0.058,0.097,0.13,0.518,0.252,0.055,0.467,0.533
0.139,0.251,0.442,0.048,0.113,0.139,0.45,0.26,0.065,0.468,0.532
0.162,0.2,0.473,0.081,0.108,0.162,0.469,0.288,0.035,0.504,0.496
0.116,0.184,0.545,0.079,0.13,0.116,0.495,0.231,0.043,0.57,0.43
0.111,0.199,0.559,0.055,0.063,0.111,0.541,0.192,0.035,0.546,0.454
0.131,0.158,0.494,0.031,0.089,0.131,0.456,0.208,0.031,0.444,0.556
0.136,0.185,0.528,0.049,0.063,0.136,0.542,0.213,0.042,0.5,0.5
0.082,0.133,0.656,0.027,0.055,0.082,0.57,0.141,0.008,0.625,0.375
0.137,0.149,0.531,0.047,0.102,0.137,0.512,0.214,0.028,0.453,0.547
0.148,0.104,0.596,0.052,0.067,0.148,0.522,0.215,0.011,0.53,0.47
0.128,0.18,0.511,0.044,0.073,0.128,0.499,0.219,0.043,0.452,0.548
0.171,0.145,0.52,0.046,0.099,0.171,0.474,0.25,0.046,0.454,0.546
0.118,0.105,0.634,0.042,0.059,0.118,0.554,0.185,0.073,0.554,0.446
0.114,0.184,0.53,0.039,0.069,0.114,0.506,0.199,0.054,0.515,0.485
0.195,0.346,0.376,0.038,0.06,0.195,0.474,0.241,0.135,0.504,0.496
0.161,0.177,0.478,0.038,0.091,0.161,0.484,0.247,0.038,0.441,0.559
0.127,0.24,0.483,0.04,0.075,0.127,0.492,0.202,0.046,0.531,0.469
0.161,0.213,0.453,0.05,0.103,0.161,0.46,0.245,0.056,0.444,0.556
0.119,0.152,0.6,0.078,0.067,0.119,0.548,0.215,0.037,0.589,0.411
0.105,0.277,0.476,0.06,0.065,0.105,0.476,0.247,0.05,0.554,0.446
0.135,0.184,0.513,0.011,0.06,0.135,0.476,0.202,0.03,0.532,0.468
0.122,0.15,0.564,0.056,0.06,0.122,0.527,0.21,0.047,0.524,0.476
0.111,0.172,0.586,0.061,0.051,0.111,0.556,0.222,0.04,0.505,0.495
0.145,0.18,0.498,0.054,0.091,0.145,0.486,0.265,0.032,0.483,0.517
0.112,0.253,0.487,0.039,0.113,0.112,0.531,0.201,0.056,0.541,0.459
0.149,0.197,0.483,0.053,0.084,0.149,0.495,0.241,0.043,0.497,0.503
0.11,0.158,0.589,0.048,0.062,0.11,0.596,0.185,0.027,0.507,0.493
0.127,0.255,0.476,0.049,0.092,0.127,0.498,0.215,0.069,0.543,0.457
0.146,0.158,0.564,0.038,0.058,0.146,0.553,0.202,0.035,0.544,0.456
0.155,0.218,0.457,0.046,0.109,0.155,0.492,0.239,0.066,0.477,0.523
0.164,0.19,0.424,0.032,0.091,0.164,0.432,0.273,0.064,0.408,0.592
0.103,0.233,0.475,0.072,0.094,0.103,0.471,0.247,0.018,0.596,0.404
0.132,0.257,0.509,0.03,0.114,0.132,0.431,0.198,0.024,0.545,0.455
0.137,0.238,0.454,0.051,0.096,0.137,0.467,0.245,0.048,0.516,0.484
0.136,0.172,0.532,0.051,0.128,0.136,0.47,0.21,0.031,0.436,0.564
0.204,0.151,0.441,0.011,0.097,0.204,0.441,0.258,0.032,0.376,0.624
0.032,0.298,0.521,0.021,0.106,0.032,0.447,0.112,0.011,0.665,0.335
0.155,0.189,0.471,0.03,0.086,0.155,0.477,0.226,0.047,0.435,0.565
0.103,0.194,0.624,0.019,0.148,0.103,0.601,0.148,0.049,0.452,0.548
